ordinal,name,rarity,old_element_tag
990,Orru,Legendary,Ice
991,Xundraintu,Legendary,Earth
992,Resosdienth,Legendary,Wood
993,Xazzyrth,Legendary,Metal
996,Poton,Legendary,Shadow
999,Orgasdam,Legendary,Cosmic
951,Mylroi,VeryRare,Water
953,Tomrenteinth,VeryRare,Earth
955,Qoirgeinth,VeryRare,Metal
956,Nindainth,VeryRare,Storm
958,Posass,VeryRare,Shadow
959,Unosder,VeryRare,Light
961,Xyndyn,VeryRare,Cosmic
964,Tinym,VeryRare,Mind
967,Kendriass,VeryRare,Crystal
968,Pirgod,VeryRare,Blood
969,Xiddrirro,VeryRare,Fire
970,Nendrunos,VeryRare,Water
972,Yseom,VeryRare,Earth
974,Zymrerth,VeryRare,Metal
976,Polriat,VeryRare,Wind
977,Xorvurro,VeryRare,Shadow
978,Zesurth,VeryRare,Light
979,Xegi,VeryRare,Venom
980,Yzarrass,VeryRare,Cosmic
981,Pimurir,VeryRare,Aether
982,Zese,VeryRare,Dream
984,Qelrem,VeryRare,Sound
985,Yrorros,VeryRare,Time
989,Memmuror,VeryRare,Water
851,Yetiger,Rare,Sound
855,Magihawk,Rare,Fire
856,Knightingale,Rare,Water
857,Vultune,Rare,Ice
862,Twilightingale,Rare,Wind
863,Vaporc,Rare,Shadow
865,Mantygon,Rare,Venom
866,Rhinonium,Rare,Cosmic
867,Mohawk,Rare,Aether
870,Starish,Rare,Sound
872,Mountida,Rare,Crystal
875,Salamantis,Rare,Water
877,Turtoy,Rare,Earth
878,Vultaring,Rare,Wood
880,Volteon,Rare,Storm
882,Salamaniac,Rare,Shadow
884,Venophant,Rare,Venom
885,Scorpidos,Rare,Cosmic
887,Rammite,Rare,Dream
888,Steelalo,Rare,Mind
889,Wallanyte,Rare,Sound
894,Scorpike,Rare,Water
896,Parriot,Rare,Earth
900,Nyghy,Rare,Wind
901,Xuvra,Rare,Shadow
903,Piannin,Rare,Venom
905,Zoracrynth,Rare,Aether
909,Ymmiss,Rare,Time
913,Yrvador,Rare,Water
914,Perrinth,Rare,Ice
915,Qimeg,Rare,Earth
916,Ysyrth,Rare,Wood
917,Kuzayn,Rare,Metal
918,Ziervier,Rare,Storm
921,Yrvon,Rare,Light
925,Qudrayrreit,Rare,Dream
926,Qeombenth,Rare,Mind
929,Zunnum,Rare,Crystal
931,Romby,Rare,Fire
935,Zurgan,Rare,Wood
938,Pursen,Rare,Wind
939,Ymbaintys,Rare,Shadow
941,Kylbodar,Rare,Venom
942,Katairag,Rare,Cosmic
943,Norsentiag,Rare,Aether
944,Qenurriam,Rare,Dream
945,Usim,Rare,Mind
946,Tumru,Rare,Sound
949,Qyvros,Rare,Blood
