"technique_id","technique_name","aspect","animation_id","duration_ms","hit_frame_ms","sfx_key","caster_motion","projectile_or_field","target_impact","color_primary","color_secondary"
"TC001","Ember Snap","ember","anim_tc001_ember_strike_arc","537","191","sfx_tc001_ember_strike_arc","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC002","Tide Surge","tide","anim_tc002_tide_pulse_surge","554","202","sfx_tc002_tide_pulse_surge","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC003","Verdance Veil","verdance","anim_tc003_verdance_guard_spiral","571","213","sfx_tc003_verdance_guard_spiral","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC004","Stone Spiral","stone","anim_tc004_stone_field_burst","588","224","sfx_tc004_stone_field_burst","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC005","Gale Crown","gale","anim_tc005_gale_bind_rain","605","235","sfx_tc005_gale_bind_rain","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC006","Spark Pulse","spark","anim_tc006_spark_recovery_lash","622","246","sfx_tc006_spark_recovery_lash","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC007","Frost Fang","frost","anim_tc007_frost_strike_ring","639","257","sfx_tc007_frost_strike_ring","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC008","Metal Bloom","metal","anim_tc008_metal_pulse_wave","656","268","sfx_tc008_metal_pulse_wave","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC009","Shade Ward","shade","anim_tc009_shade_guard_slash","673","279","sfx_tc009_shade_guard_slash","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC010","Radiant Lance","radiant","anim_tc010_radiant_field_flare","690","290","sfx_tc010_radiant_field_flare","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC011","Mind Step","mind","anim_tc011_mind_bind_quake","707","301","sfx_tc011_mind_bind_quake","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC012","Echo Howl","echo","anim_tc012_echo_recovery_beam","724","312","sfx_tc012_echo_recovery_beam","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC013","Ember Guard","ember","anim_tc013_ember_strike_ripple","741","323","sfx_tc013_ember_strike_ripple","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC014","Tide Crash","tide","anim_tc014_tide_pulse_shard","758","334","sfx_tc014_tide_pulse_shard","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC015","Verdance Thread","verdance","anim_tc015_verdance_guard_chain","775","345","sfx_tc015_verdance_guard_chain","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC016","Stone Field","stone","anim_tc016_stone_field_veil","792","356","sfx_tc016_stone_field_veil","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC017","Gale Mark","gale","anim_tc017_gale_bind_arc","809","367","sfx_tc017_gale_bind_arc","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC018","Spark Rush","spark","anim_tc018_spark_recovery_surge","826","378","sfx_tc018_spark_recovery_surge","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC019","Frost Song","frost","anim_tc019_frost_strike_spiral","843","389","sfx_tc019_frost_strike_spiral","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC020","Metal Blade","metal","anim_tc020_metal_pulse_burst","860","400","sfx_tc020_metal_pulse_burst","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC021","Shade Nova","shade","anim_tc021_shade_guard_rain","877","411","sfx_tc021_shade_guard_rain","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC022","Radiant Rift","radiant","anim_tc022_radiant_field_lash","894","422","sfx_tc022_radiant_field_lash","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC023","Mind Comet","mind","anim_tc023_mind_bind_ring","911","433","sfx_tc023_mind_bind_ring","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC024","Echo Bind","echo","anim_tc024_echo_recovery_wave","928","444","sfx_tc024_echo_recovery_wave","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC025","Ember Mirror","ember","anim_tc025_ember_strike_slash","945","455","sfx_tc025_ember_strike_slash","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC026","Tide Drift","tide","anim_tc026_tide_pulse_flare","962","466","sfx_tc026_tide_pulse_flare","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC027","Verdance Aegis","verdance","anim_tc027_verdance_guard_quake","979","477","sfx_tc027_verdance_guard_quake","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC028","Stone Burst","stone","anim_tc028_stone_field_beam","996","488","sfx_tc028_stone_field_beam","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC029","Gale Orbit","gale","anim_tc029_gale_bind_ripple","1013","499","sfx_tc029_gale_bind_ripple","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC030","Spark Needle","spark","anim_tc030_spark_recovery_shard","1030","510","sfx_tc030_spark_recovery_shard","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC031","Frost Snap","frost","anim_tc031_frost_strike_chain","527","521","sfx_tc031_frost_strike_chain","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC032","Metal Surge","metal","anim_tc032_metal_pulse_veil","544","532","sfx_tc032_metal_pulse_veil","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC033","Shade Veil","shade","anim_tc033_shade_guard_arc","561","543","sfx_tc033_shade_guard_arc","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC034","Radiant Spiral","radiant","anim_tc034_radiant_field_surge","578","554","sfx_tc034_radiant_field_surge","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC035","Mind Crown","mind","anim_tc035_mind_bind_spiral","595","565","sfx_tc035_mind_bind_spiral","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC036","Echo Pulse","echo","anim_tc036_echo_recovery_burst","612","576","sfx_tc036_echo_recovery_burst","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC037","Ember Fang","ember","anim_tc037_ember_strike_rain","629","587","sfx_tc037_ember_strike_rain","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC038","Tide Bloom","tide","anim_tc038_tide_pulse_lash","646","598","sfx_tc038_tide_pulse_lash","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC039","Verdance Ward","verdance","anim_tc039_verdance_guard_ring","663","189","sfx_tc039_verdance_guard_ring","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC040","Stone Lance","stone","anim_tc040_stone_field_wave","680","200","sfx_tc040_stone_field_wave","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC041","Gale Step","gale","anim_tc041_gale_bind_slash","697","211","sfx_tc041_gale_bind_slash","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC042","Spark Howl","spark","anim_tc042_spark_recovery_flare","714","222","sfx_tc042_spark_recovery_flare","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC043","Frost Guard","frost","anim_tc043_frost_strike_quake","731","233","sfx_tc043_frost_strike_quake","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC044","Metal Crash","metal","anim_tc044_metal_pulse_beam","748","244","sfx_tc044_metal_pulse_beam","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC045","Shade Thread","shade","anim_tc045_shade_guard_ripple","765","255","sfx_tc045_shade_guard_ripple","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC046","Radiant Field","radiant","anim_tc046_radiant_field_shard","782","266","sfx_tc046_radiant_field_shard","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC047","Mind Mark","mind","anim_tc047_mind_bind_chain","799","277","sfx_tc047_mind_bind_chain","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC048","Echo Rush","echo","anim_tc048_echo_recovery_veil","816","288","sfx_tc048_echo_recovery_veil","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC049","Ember Song","ember","anim_tc049_ember_strike_arc","833","299","sfx_tc049_ember_strike_arc","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC050","Tide Blade","tide","anim_tc050_tide_pulse_surge","850","310","sfx_tc050_tide_pulse_surge","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC051","Verdance Nova","verdance","anim_tc051_verdance_guard_spiral","867","321","sfx_tc051_verdance_guard_spiral","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC052","Stone Rift","stone","anim_tc052_stone_field_burst","884","332","sfx_tc052_stone_field_burst","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC053","Gale Comet","gale","anim_tc053_gale_bind_rain","901","343","sfx_tc053_gale_bind_rain","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC054","Spark Bind","spark","anim_tc054_spark_recovery_lash","918","354","sfx_tc054_spark_recovery_lash","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC055","Frost Mirror","frost","anim_tc055_frost_strike_ring","935","365","sfx_tc055_frost_strike_ring","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC056","Metal Drift","metal","anim_tc056_metal_pulse_wave","952","376","sfx_tc056_metal_pulse_wave","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC057","Shade Aegis","shade","anim_tc057_shade_guard_slash","969","387","sfx_tc057_shade_guard_slash","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC058","Radiant Burst","radiant","anim_tc058_radiant_field_flare","986","398","sfx_tc058_radiant_field_flare","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC059","Mind Orbit","mind","anim_tc059_mind_bind_quake","1003","409","sfx_tc059_mind_bind_quake","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC060","Echo Needle","echo","anim_tc060_echo_recovery_beam","1020","420","sfx_tc060_echo_recovery_beam","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC061","Ember Snap","ember","anim_tc061_ember_strike_ripple","1037","431","sfx_tc061_ember_strike_ripple","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC062","Tide Surge","tide","anim_tc062_tide_pulse_shard","534","442","sfx_tc062_tide_pulse_shard","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC063","Verdance Veil","verdance","anim_tc063_verdance_guard_chain","551","453","sfx_tc063_verdance_guard_chain","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC064","Stone Spiral","stone","anim_tc064_stone_field_veil","568","464","sfx_tc064_stone_field_veil","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC065","Gale Crown","gale","anim_tc065_gale_bind_arc","585","475","sfx_tc065_gale_bind_arc","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC066","Spark Pulse","spark","anim_tc066_spark_recovery_surge","602","486","sfx_tc066_spark_recovery_surge","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC067","Frost Fang","frost","anim_tc067_frost_strike_spiral","619","497","sfx_tc067_frost_strike_spiral","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC068","Metal Bloom","metal","anim_tc068_metal_pulse_burst","636","508","sfx_tc068_metal_pulse_burst","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC069","Shade Ward","shade","anim_tc069_shade_guard_rain","653","519","sfx_tc069_shade_guard_rain","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC070","Radiant Lance","radiant","anim_tc070_radiant_field_lash","670","530","sfx_tc070_radiant_field_lash","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC071","Mind Step","mind","anim_tc071_mind_bind_ring","687","541","sfx_tc071_mind_bind_ring","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC072","Echo Howl","echo","anim_tc072_echo_recovery_wave","704","552","sfx_tc072_echo_recovery_wave","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC073","Ember Guard","ember","anim_tc073_ember_strike_slash","721","563","sfx_tc073_ember_strike_slash","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC074","Tide Crash","tide","anim_tc074_tide_pulse_flare","738","574","sfx_tc074_tide_pulse_flare","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC075","Verdance Thread","verdance","anim_tc075_verdance_guard_quake","755","585","sfx_tc075_verdance_guard_quake","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC076","Stone Field","stone","anim_tc076_stone_field_beam","772","596","sfx_tc076_stone_field_beam","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC077","Gale Mark","gale","anim_tc077_gale_bind_ripple","789","187","sfx_tc077_gale_bind_ripple","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC078","Spark Rush","spark","anim_tc078_spark_recovery_shard","806","198","sfx_tc078_spark_recovery_shard","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC079","Frost Song","frost","anim_tc079_frost_strike_chain","823","209","sfx_tc079_frost_strike_chain","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC080","Metal Blade","metal","anim_tc080_metal_pulse_veil","840","220","sfx_tc080_metal_pulse_veil","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC081","Shade Nova","shade","anim_tc081_shade_guard_arc","857","231","sfx_tc081_shade_guard_arc","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC082","Radiant Rift","radiant","anim_tc082_radiant_field_surge","874","242","sfx_tc082_radiant_field_surge","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC083","Mind Comet","mind","anim_tc083_mind_bind_spiral","891","253","sfx_tc083_mind_bind_spiral","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC084","Echo Bind","echo","anim_tc084_echo_recovery_burst","908","264","sfx_tc084_echo_recovery_burst","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC085","Ember Mirror","ember","anim_tc085_ember_strike_rain","925","275","sfx_tc085_ember_strike_rain","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC086","Tide Drift","tide","anim_tc086_tide_pulse_lash","942","286","sfx_tc086_tide_pulse_lash","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC087","Verdance Aegis","verdance","anim_tc087_verdance_guard_ring","959","297","sfx_tc087_verdance_guard_ring","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC088","Stone Burst","stone","anim_tc088_stone_field_wave","976","308","sfx_tc088_stone_field_wave","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC089","Gale Orbit","gale","anim_tc089_gale_bind_slash","993","319","sfx_tc089_gale_bind_slash","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC090","Spark Needle","spark","anim_tc090_spark_recovery_flare","1010","330","sfx_tc090_spark_recovery_flare","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC091","Frost Snap","frost","anim_tc091_frost_strike_quake","1027","341","sfx_tc091_frost_strike_quake","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC092","Metal Surge","metal","anim_tc092_metal_pulse_beam","524","352","sfx_tc092_metal_pulse_beam","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC093","Shade Veil","shade","anim_tc093_shade_guard_ripple","541","363","sfx_tc093_shade_guard_ripple","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC094","Radiant Spiral","radiant","anim_tc094_radiant_field_shard","558","374","sfx_tc094_radiant_field_shard","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC095","Mind Crown","mind","anim_tc095_mind_bind_chain","575","385","sfx_tc095_mind_bind_chain","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC096","Echo Pulse","echo","anim_tc096_echo_recovery_veil","592","396","sfx_tc096_echo_recovery_veil","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC097","Ember Fang","ember","anim_tc097_ember_strike_arc","609","407","sfx_tc097_ember_strike_arc","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC098","Tide Bloom","tide","anim_tc098_tide_pulse_surge","626","418","sfx_tc098_tide_pulse_surge","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC099","Verdance Ward","verdance","anim_tc099_verdance_guard_spiral","643","429","sfx_tc099_verdance_guard_spiral","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC100","Stone Lance","stone","anim_tc100_stone_field_burst","660","440","sfx_tc100_stone_field_burst","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC101","Gale Step","gale","anim_tc101_gale_bind_rain","677","451","sfx_tc101_gale_bind_rain","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC102","Spark Howl","spark","anim_tc102_spark_recovery_lash","694","462","sfx_tc102_spark_recovery_lash","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC103","Frost Guard","frost","anim_tc103_frost_strike_ring","711","473","sfx_tc103_frost_strike_ring","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC104","Metal Crash","metal","anim_tc104_metal_pulse_wave","728","484","sfx_tc104_metal_pulse_wave","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC105","Shade Thread","shade","anim_tc105_shade_guard_slash","745","495","sfx_tc105_shade_guard_slash","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC106","Radiant Field","radiant","anim_tc106_radiant_field_flare","762","506","sfx_tc106_radiant_field_flare","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC107","Mind Mark","mind","anim_tc107_mind_bind_quake","779","517","sfx_tc107_mind_bind_quake","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC108","Echo Rush","echo","anim_tc108_echo_recovery_beam","796","528","sfx_tc108_echo_recovery_beam","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC109","Ember Song","ember","anim_tc109_ember_strike_ripple","813","539","sfx_tc109_ember_strike_ripple","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC110","Tide Blade","tide","anim_tc110_tide_pulse_shard","830","550","sfx_tc110_tide_pulse_shard","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC111","Verdance Nova","verdance","anim_tc111_verdance_guard_chain","847","561","sfx_tc111_verdance_guard_chain","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC112","Stone Rift","stone","anim_tc112_stone_field_veil","864","572","sfx_tc112_stone_field_veil","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC113","Gale Comet","gale","anim_tc113_gale_bind_arc","881","583","sfx_tc113_gale_bind_arc","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC114","Spark Bind","spark","anim_tc114_spark_recovery_surge","898","594","sfx_tc114_spark_recovery_surge","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC115","Frost Mirror","frost","anim_tc115_frost_strike_spiral","915","185","sfx_tc115_frost_strike_spiral","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC116","Metal Drift","metal","anim_tc116_metal_pulse_burst","932","196","sfx_tc116_metal_pulse_burst","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC117","Shade Aegis","shade","anim_tc117_shade_guard_rain","949","207","sfx_tc117_shade_guard_rain","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC118","Radiant Burst","radiant","anim_tc118_radiant_field_lash","966","218","sfx_tc118_radiant_field_lash","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC119","Mind Orbit","mind","anim_tc119_mind_bind_ring","983","229","sfx_tc119_mind_bind_ring","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC120","Echo Needle","echo","anim_tc120_echo_recovery_wave","1000","240","sfx_tc120_echo_recovery_wave","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC121","Ember Snap","ember","anim_tc121_ember_strike_slash","1017","251","sfx_tc121_ember_strike_slash","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC122","Tide Surge","tide","anim_tc122_tide_pulse_flare","1034","262","sfx_tc122_tide_pulse_flare","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC123","Verdance Veil","verdance","anim_tc123_verdance_guard_quake","531","273","sfx_tc123_verdance_guard_quake","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC124","Stone Spiral","stone","anim_tc124_stone_field_beam","548","284","sfx_tc124_stone_field_beam","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC125","Gale Crown","gale","anim_tc125_gale_bind_ripple","565","295","sfx_tc125_gale_bind_ripple","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC126","Spark Pulse","spark","anim_tc126_spark_recovery_shard","582","306","sfx_tc126_spark_recovery_shard","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC127","Frost Fang","frost","anim_tc127_frost_strike_chain","599","317","sfx_tc127_frost_strike_chain","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC128","Metal Bloom","metal","anim_tc128_metal_pulse_veil","616","328","sfx_tc128_metal_pulse_veil","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC129","Shade Ward","shade","anim_tc129_shade_guard_arc","633","339","sfx_tc129_shade_guard_arc","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC130","Radiant Lance","radiant","anim_tc130_radiant_field_surge","650","350","sfx_tc130_radiant_field_surge","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC131","Mind Step","mind","anim_tc131_mind_bind_spiral","667","361","sfx_tc131_mind_bind_spiral","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC132","Echo Howl","echo","anim_tc132_echo_recovery_burst","684","372","sfx_tc132_echo_recovery_burst","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC133","Ember Guard","ember","anim_tc133_ember_strike_rain","701","383","sfx_tc133_ember_strike_rain","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC134","Tide Crash","tide","anim_tc134_tide_pulse_lash","718","394","sfx_tc134_tide_pulse_lash","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC135","Verdance Thread","verdance","anim_tc135_verdance_guard_ring","735","405","sfx_tc135_verdance_guard_ring","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC136","Stone Field","stone","anim_tc136_stone_field_wave","752","416","sfx_tc136_stone_field_wave","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC137","Gale Mark","gale","anim_tc137_gale_bind_slash","769","427","sfx_tc137_gale_bind_slash","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC138","Spark Rush","spark","anim_tc138_spark_recovery_flare","786","438","sfx_tc138_spark_recovery_flare","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC139","Frost Song","frost","anim_tc139_frost_strike_quake","803","449","sfx_tc139_frost_strike_quake","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC140","Metal Blade","metal","anim_tc140_metal_pulse_beam","820","460","sfx_tc140_metal_pulse_beam","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC141","Shade Nova","shade","anim_tc141_shade_guard_ripple","837","471","sfx_tc141_shade_guard_ripple","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC142","Radiant Rift","radiant","anim_tc142_radiant_field_shard","854","482","sfx_tc142_radiant_field_shard","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC143","Mind Comet","mind","anim_tc143_mind_bind_chain","871","493","sfx_tc143_mind_bind_chain","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC144","Echo Bind","echo","anim_tc144_echo_recovery_veil","888","504","sfx_tc144_echo_recovery_veil","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC145","Ember Mirror","ember","anim_tc145_ember_strike_arc","905","515","sfx_tc145_ember_strike_arc","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC146","Tide Drift","tide","anim_tc146_tide_pulse_surge","922","526","sfx_tc146_tide_pulse_surge","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC147","Verdance Aegis","verdance","anim_tc147_verdance_guard_spiral","939","537","sfx_tc147_verdance_guard_spiral","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC148","Stone Burst","stone","anim_tc148_stone_field_burst","956","548","sfx_tc148_stone_field_burst","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC149","Gale Orbit","gale","anim_tc149_gale_bind_rain","973","559","sfx_tc149_gale_bind_rain","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC150","Spark Needle","spark","anim_tc150_spark_recovery_lash","990","570","sfx_tc150_spark_recovery_lash","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC151","Frost Snap","frost","anim_tc151_frost_strike_ring","1007","581","sfx_tc151_frost_strike_ring","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC152","Metal Surge","metal","anim_tc152_metal_pulse_wave","1024","592","sfx_tc152_metal_pulse_wave","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC153","Shade Veil","shade","anim_tc153_shade_guard_slash","521","183","sfx_tc153_shade_guard_slash","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC154","Radiant Spiral","radiant","anim_tc154_radiant_field_flare","538","194","sfx_tc154_radiant_field_flare","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC155","Mind Crown","mind","anim_tc155_mind_bind_quake","555","205","sfx_tc155_mind_bind_quake","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC156","Echo Pulse","echo","anim_tc156_echo_recovery_beam","572","216","sfx_tc156_echo_recovery_beam","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC157","Ember Fang","ember","anim_tc157_ember_strike_ripple","589","227","sfx_tc157_ember_strike_ripple","brace","aura_ring","shake","#F05A28","#FFD43B"
