"echoform_id","echoform_name","level","technique_id","technique_name","element","source"
"E001","Vulkid","1","TC013","Ember Guard","ember","level_up"
"E001","Vulkid","4","TC097","Ember Fang","ember","level_up"
"E001","Vulkid","8","TC181","Ember Snap","ember","level_up"
"E001","Vulkid","12","TC265","Ember Mirror","ember","level_up"
"E001","Vulkid","16","TC349","Ember Song","ember","level_up"
"E001","Vulkid","20","TC433","Ember Guard","ember","level_up"
"E001","Vulkid","25","TC061","Ember Snap","ember","level_up"
"E001","Vulkid","30","TC145","Ember Mirror","ember","level_up"
"E001","Vulkid","36","TC229","Ember Song","ember","level_up"
"E001","Vulkid","44","TC313","Ember Guard","ember","level_up"
"E001","Vulkid","52","TC397","Ember Fang","ember","level_up"
"E001","Vulkid","62","TC025","Ember Mirror","ember","level_up"
"E002","Reeva","1","TC026","Tide Drift","tide","level_up"
"E002","Reeva","4","TC110","Tide Blade","tide","level_up"
"E002","Reeva","8","TC194","Tide Crash","tide","level_up"
"E002","Reeva","12","TC278","Tide Bloom","tide","level_up"
"E002","Reeva","16","TC362","Tide Surge","tide","level_up"
"E002","Reeva","20","TC446","Tide Drift","tide","level_up"
"E002","Reeva","25","TC074","Tide Crash","tide","level_up"
"E002","Reeva","30","TC158","Tide Bloom","tide","level_up"
"E002","Reeva","36","TC242","Tide Surge","tide","level_up"
"E002","Reeva","44","TC326","Tide Drift","tide","level_up"
"E002","Reeva","52","TC410","Tide Blade","tide","level_up"
"E002","Reeva","62","TC038","Tide Bloom","tide","level_up"
"E003","Mosslyn","1","TC039","Verdance Ward","verdance","level_up"
"E003","Mosslyn","4","TC128","Metal Bloom","metal","level_up"
"E003","Mosslyn","8","TC207","Verdance Aegis","verdance","level_up"
"E003","Mosslyn","12","TC296","Metal Drift","metal","level_up"
"E003","Mosslyn","16","TC375","Verdance Thread","verdance","level_up"
"E003","Mosslyn","20","TC020","Metal Blade","metal","level_up"
"E003","Mosslyn","25","TC087","Verdance Aegis","verdance","level_up"
"E003","Mosslyn","30","TC188","Metal Bloom","metal","level_up"
"E003","Mosslyn","36","TC255","Verdance Thread","verdance","level_up"
"E003","Mosslyn","44","TC356","Metal Drift","metal","level_up"
"E003","Mosslyn","52","TC423","Verdance Veil","verdance","level_up"
"E003","Mosslyn","62","TC080","Metal Blade","metal","level_up"
"E004","Flickit","1","TC052","Stone Rift","stone","level_up"
"E004","Flickit","4","TC136","Stone Field","stone","level_up"
"E004","Flickit","8","TC220","Stone Lance","stone","level_up"
"E004","Flickit","12","TC304","Stone Spiral","stone","level_up"
"E004","Flickit","16","TC388","Stone Burst","stone","level_up"
"E004","Flickit","20","TC016","Stone Field","stone","level_up"
"E004","Flickit","25","TC100","Stone Lance","stone","level_up"
"E004","Flickit","30","TC184","Stone Spiral","stone","level_up"
"E004","Flickit","36","TC268","Stone Burst","stone","level_up"
"E004","Flickit","44","TC352","Stone Rift","stone","level_up"
"E004","Flickit","52","TC436","Stone Field","stone","level_up"
"E004","Flickit","62","TC064","Stone Spiral","stone","level_up"
"E005","Pebbun","1","TC065","Gale Crown","gale","level_up"
"E005","Pebbun","4","TC149","Gale Orbit","gale","level_up"
"E005","Pebbun","8","TC233","Gale Comet","gale","level_up"
"E005","Pebbun","12","TC317","Gale Mark","gale","level_up"
"E005","Pebbun","16","TC401","Gale Step","gale","level_up"
"E005","Pebbun","20","TC029","Gale Orbit","gale","level_up"
"E005","Pebbun","25","TC113","Gale Comet","gale","level_up"
"E005","Pebbun","30","TC197","Gale Mark","gale","level_up"
"E005","Pebbun","36","TC281","Gale Step","gale","level_up"
"E005","Pebbun","44","TC365","Gale Crown","gale","level_up"
"E005","Pebbun","52","TC449","Gale Orbit","gale","level_up"
"E005","Pebbun","62","TC077","Gale Mark","gale","level_up"
"E006","Glimlet","1","TC078","Spark Rush","spark","level_up"
"E006","Glimlet","4","TC167","Mind Mark","mind","level_up"
"E006","Glimlet","8","TC246","Spark Pulse","spark","level_up"
"E006","Glimlet","12","TC335","Mind Crown","mind","level_up"
"E006","Glimlet","16","TC414","Spark Bind","spark","level_up"
"E006","Glimlet","20","TC059","Mind Orbit","mind","level_up"
"E006","Glimlet","25","TC126","Spark Pulse","spark","level_up"
"E006","Glimlet","30","TC227","Mind Mark","mind","level_up"
"E006","Glimlet","36","TC294","Spark Bind","spark","level_up"
"E006","Glimlet","44","TC395","Mind Crown","mind","level_up"
"E006","Glimlet","52","TC006","Spark Pulse","spark","level_up"
"E006","Glimlet","62","TC119","Mind Orbit","mind","level_up"
"E007","Nibvolt","1","TC091","Frost Snap","frost","level_up"
"E007","Nibvolt","4","TC175","Frost Mirror","frost","level_up"
"E007","Nibvolt","8","TC259","Frost Song","frost","level_up"
"E007","Nibvolt","12","TC343","Frost Guard","frost","level_up"
"E007","Nibvolt","16","TC427","Frost Fang","frost","level_up"
"E007","Nibvolt","20","TC067","Frost Fang","frost","level_up"
"E007","Nibvolt","25","TC151","Frost Snap","frost","level_up"
"E007","Nibvolt","30","TC235","Frost Mirror","frost","level_up"
"E007","Nibvolt","36","TC319","Frost Song","frost","level_up"
"E007","Nibvolt","44","TC403","Frost Guard","frost","level_up"
"E007","Nibvolt","52","TC043","Frost Guard","frost","level_up"
"E007","Nibvolt","62","TC127","Frost Fang","frost","level_up"
"E008","Reedle","1","TC104","Metal Crash","metal","level_up"
"E008","Reedle","4","TC188","Metal Bloom","metal","level_up"
"E008","Reedle","8","TC272","Metal Surge","metal","level_up"
"E008","Reedle","12","TC356","Metal Drift","metal","level_up"
"E008","Reedle","16","TC440","Metal Blade","metal","level_up"
"E008","Reedle","20","TC080","Metal Blade","metal","level_up"
"E008","Reedle","25","TC164","Metal Crash","metal","level_up"
"E008","Reedle","30","TC248","Metal Bloom","metal","level_up"
"E008","Reedle","36","TC332","Metal Surge","metal","level_up"
"E008","Reedle","44","TC416","Metal Drift","metal","level_up"
"E008","Reedle","52","TC056","Metal Drift","metal","level_up"
"E008","Reedle","62","TC140","Metal Blade","metal","level_up"
"E009","Ashmole","1","TC117","Shade Aegis","shade","level_up"
"E009","Ashmole","4","TC194","Tide Crash","tide","level_up"
"E009","Ashmole","8","TC285","Shade Thread","shade","level_up"
"E009","Ashmole","12","TC362","Tide Surge","tide","level_up"
"E009","Ashmole","16","TC009","Shade Ward","shade","level_up"
"E009","Ashmole","20","TC074","Tide Crash","tide","level_up"
"E009","Ashmole","25","TC177","Shade Aegis","shade","level_up"
"E009","Ashmole","30","TC242","Tide Surge","tide","level_up"
"E009","Ashmole","36","TC345","Shade Thread","shade","level_up"
"E009","Ashmole","44","TC410","Tide Blade","tide","level_up"
"E009","Ashmole","52","TC069","Shade Ward","shade","level_up"
"E009","Ashmole","62","TC122","Tide Surge","tide","level_up"
"E010","Whisprill","1","TC130","Radiant Lance","radiant","level_up"
"E010","Whisprill","4","TC214","Radiant Spiral","radiant","level_up"
"E010","Whisprill","8","TC298","Radiant Burst","radiant","level_up"
"E010","Whisprill","12","TC382","Radiant Rift","radiant","level_up"
"E010","Whisprill","16","TC022","Radiant Rift","radiant","level_up"
"E010","Whisprill","20","TC106","Radiant Field","radiant","level_up"
"E010","Whisprill","25","TC190","Radiant Lance","radiant","level_up"
"E010","Whisprill","30","TC274","Radiant Spiral","radiant","level_up"
"E010","Whisprill","36","TC358","Radiant Burst","radiant","level_up"
"E010","Whisprill","44","TC442","Radiant Rift","radiant","level_up"
