id,name,rarity,primary_aspect,secondary_aspect,role,body_anchor,base_total,unique_per_save
E001,Vulkid,starter,ember,,attacker,salamander,325,false
E002,Reeva,starter,tide,,support,otter,325,false
E003,Mosslyn,starter,verdance,,controller,fox_deer,325,false
E004,Flickit,normal,gale,,scout,bird,270,false
E005,Pebbun,normal,stone,,tank,turtle,285,false
E006,Glimlet,normal,radiant,,healer,beetle,275,false
E007,Nibvolt,normal,spark,,disruptor,rodent,280,false
E008,Reedle,normal,verdance,tide,status,reedsnake,290,false
E009,Ashmole,normal,ember,stone,bruiser,mole,295,false
E010,Whisprill,normal,echo,,utility,wisp,270,false
E011,Lurkite,normal,shade,,debuffer,maskling,280,false
E012,Bronzawn,normal,metal,,defender,bronze_fawn,295,false
E013,Snowlume,rare,frost,radiant,sustain,owl,330,false
E014,Mindle,normal,mind,,setup,moth,275,false
E015,Corren,normal,gale,stone,physical,goat,300,false
E016,Siltjaw,normal,tide,stone,tank,crocodile,305,false
E017,Verdirn,normal,verdance,metal,trapper,mantis,300,false
E018,Echorn,normal,echo,gale,speed_support,hornbird,290,false
E019,Myrkit,rare,mind,echo,support,archive_cat,335,false
E020,Nulling,story,null,,disruptor,silhouette,340,true
E021,Sablisk,normal,shade,ember,assassin,lizard,305,false
E022,Ferronar,normal,metal,spark,armor_charge,beetle,315,false
E023,Lunaveil,rare,radiant,mind,healer,moth,340,false
E024,Galdra,rare,gale,frost,weather,bird,335,false
E025,Rootmaw,normal,verdance,stone,terrain,stump,315,false
E026,Tideglass,normal,tide,radiant,shield,jellyfish,305,false
E027,Velkrin,rare,shade,metal,burst,blade_imp,330,false
E028,Oracalf,normal,mind,stone,defensive_prediction,calf,310,false
E029,Cindrill,normal,ember,,attacker,weasel,285,false
E030,Brinemoth,normal,tide,gale,support,moth,290,false
E031,Thornox,normal,verdance,,bruiser,boar,300,false
E032,Glazetail,normal,frost,,scout,fox,285,false
E033,Sparrook,normal,spark,gale,speed,bird,285,false
E034,Mirelynx,normal,tide,shade,ambusher,lynx,300,false
E035,Basalisk,rare,stone,shade,tank,lizard,335,false
E036,Aurabeet,normal,radiant,metal,defender,beetle,305,false
E037,Duskrill,normal,shade,,status,cricket,280,false
E038,Chimefin,normal,echo,tide,utility,fish,285,false
E039,Flintusk,normal,ember,stone,bruiser,boar,310,false
E040,Mossgale,normal,verdance,gale,scout,deer,295,false
E041,Veyrmite,normal,null,shade,risk,parasite,300,false
E042,Opalyn,rare,radiant,tide,support,serpent,335,false
E043,Coppershell,normal,metal,stone,tank,turtle,310,false
E044,Rillshade,normal,shade,tide,debuffer,eel,295,false
E045,Sunquill,normal,radiant,gale,attacker,bird,300,false
E046,Frosthorn,normal,frost,stone,tank,stag,315,false
E047,Wirevole,normal,spark,metal,disruptor,vole,295,false
E048,Stonefin,normal,stone,tide,tank,fish,305,false
E049,Murkawn,normal,shade,gale,scout,crow,295,false
E050,Bellroot,normal,verdance,echo,utility,plant_bell,290,false
E051,Axolume,normal,tide,radiant,healer,axolotl,300,false
E052,Emberlyn,normal,ember,,attacker,lynx,300,false
E053,Galebit,normal,gale,,speed,rabbit,280,false
E054,Glintoad,normal,radiant,stone,defender,toad,300,false
E055,Reedstag,normal,verdance,tide,balanced,stag,305,false
E056,Ironpup,normal,metal,,bruiser,dog,295,false
E057,Shadekin,normal,shade,,ambusher,spirit,285,false
E058,Mindmoth,normal,mind,gale,setter,moth,300,false
E059,Voltcrab,normal,spark,tide,disruptor,crab,305,false
E060,Sootwing,normal,ember,gale,speed,bird,300,false
