"id","name","rarity","legendary_tier","unique_per_save","npc_legal","pvp_default_legal","primary_element","secondary_element","growth_curve","base_vigor","base_force","base_focus","base_guard","base_ward","base_tempo","base_stat_total","base_xp_yield","catch_rate","evolution_stage","evolves_to","evolves_at_level","capture_method","habitat","instinct","field_tag"
"E001","Vulkid","common","normal","false","true","true","ember","","fast","49","46","50","51","54","57","307","71","146","1","E002","17","habitat_prism","coast","Pressure Vein","ember"
"E002","Reeva","common","normal","false","true","true","tide","","fast","58","59","66","38","45","48","314","72","147","2","E003","36","element_prism","farmland","Rain Listener","tide"
"E003","Mosslyn","common","normal","false","true","true","verdance","metal","fast","60","65","45","52","62","37","321","73","148","3","","","bond_event","marsh","Root Memory","verdance_metal"
"E004","Flickit","common","normal","false","true","true","stone","","fast","70","47","60","39","52","60","328","74","149","1","E005","20","quest_attunement","industrial","Stone Nerve","stone"
"E005","Pebbun","uncommon","normal","false","true","true","gale","","medium","71","79","59","79","55","72","415","130","100","2","E006","39","dungeon_finale","archive","Sky Step","gale"
"E006","Glimlet","common","normal","false","true","true","spark","mind","fast","61","71","59","43","65","43","342","76","151","3","","","clear_prism","volcanic_port","Static Nerve","spark_mind"
"E007","Nibvolt","common","normal","false","true","true","frost","","fast","64","45","69","58","48","65","349","77","152","1","E008","17","habitat_prism","canopy","Cold Focus","frost"
"E008","Reedle","common","normal","false","true","true","metal","","fast","74","57","53","44","72","56","356","78","153","2","E009","34","element_prism","desert","Iron Rhythm","metal"
"E009","Ashmole","common","normal","false","true","true","shade","tide","fast","46","58","57","53","50","38","302","79","154","3","","","bond_event","mountain","Night Sense","shade_tide"
"E010","Whisprill","uncommon","normal","false","true","true","radiant","","medium","78","58","62","58","58","90","404","135","105","1","E011","20","quest_attunement","wetland_tower","Lumen Guard","radiant"
"E011","Lurkite","common","normal","false","true","true","mind","","fast","57","47","52","54","57","49","316","81","156","2","E012","37","dungeon_finale","monastery_cliffs","Future Trace","mind"
"E012","Bronzawn","common","normal","false","true","true","echo","gale","fast","72","65","42","46","53","45","323","82","157","3","","","clear_prism","storm_harbor","Signal Bloom","echo_gale"
"E013","Snowlume","common","normal","false","true","true","ember","","fast","53","43","57","65","40","72","330","83","158","1","E014","17","habitat_prism","mining_city","Pressure Vein","ember"
"E014","Mindle","common","normal","false","true","true","tide","","fast","57","51","67","46","59","57","337","84","159","2","E015","40","element_prism","suspended_bridges","Rain Listener","tide"
"E015","Corren","uncommon","normal","false","true","true","verdance","metal","medium","76","72","59","76","55","55","393","140","110","3","","","bond_event","reclaimed_war_zone","Root Memory","verdance_metal"
"E016","Siltjaw","common","normal","false","true","true","stone","","fast","63","64","57","42","61","64","351","86","161","1","E017","20","quest_attunement","flooded_ruins","Stone Nerve","stone"
"E017","Verdirn","rare","normal","false","true","true","gale","","slow","76","74","67","98","82","90","487","187","72","2","E018","35","dungeon_finale","trade_city","Sky Step","gale"
"E018","Echorn","common","normal","false","true","true","spark","mind","fast","56","57","56","47","40","48","304","88","163","3","","","clear_prism","forge_city","Static Nerve","spark_mind"
"E019","Myrkit","common","normal","false","true","true","frost","","fast","49","53","55","51","48","55","311","89","164","1","E020","17","habitat_prism","abandoned_relay","Cold Focus","frost"
"E020","Nulling","uncommon","normal","false","true","true","metal","","medium","81","54","61","57","57","72","382","145","115","2","E021","38","element_prism","night_marsh","Iron Rhythm","metal"
"E021","Sablisk","common","normal","false","true","true","shade","tide","fast","45","51","59","61","64","45","325","91","166","3","","","bond_event","frozen_music_city","Night Sense","shade_tide"
"E022","Ferronar","common","normal","false","true","true","radiant","","fast","59","69","49","53","60","42","332","92","167","1","E023","20","quest_attunement","capital","Lumen Guard","radiant"
"E023","Lunaveil","common","normal","false","true","true","mind","","fast","62","44","60","68","44","61","339","93","168","2","E024","41","dungeon_finale","old_fortress","Future Trace","mind"
"E024","Galdra","common","normal","false","true","true","echo","gale","fast","72","56","43","54","68","53","346","94","169","3","","","clear_prism","greenhouse_port","Signal Bloom","echo_gale"
"E025","Rootmaw","uncommon","normal","false","true","true","ember","","medium","62","80","70","88","66","51","417","150","120","1","E026","17","habitat_prism","sealed_border","Pressure Vein","ember"
"E026","Tideglass","common","normal","false","true","true","tide","","fast","62","47","77","59","43","72","360","96","171","2","E027","36","element_prism","golden_tower","Rain Listener","tide"
"E027","Velkrin","common","normal","false","true","true","verdance","metal","fast","55","45","44","62","53","47","306","97","172","3","","","bond_event","arena_island","Root Memory","verdance_metal"
"E028","Oracalf","common","normal","false","true","true","stone","","fast","64","57","59","50","44","39","313","98","173","1","E029","20","quest_attunement","lower_archive","Stone Nerve","stone"
"E029","Cindrill","common","normal","false","true","true","gale","","fast","42","62","38","62","59","57","320","99","174","2","E030","39","dungeon_finale","corrupted_city","Sky Step","gale"
"E030","Brinemoth","uncommon","normal","false","true","true","spark","mind","medium","68","61","72","68","68","69","406","125","125","3","","","clear_prism","restored_hub","Static Nerve","spark_mind"
"E031","Thornox","common","normal","false","true","true","frost","","fast","65","63","75","40","44","47","334","101","176","1","E032","17","habitat_prism","coast","Cold Focus","frost"
"E032","Glazetail","common","normal","false","true","true","metal","","fast","61","62","48","51","57","62","341","102","177","2","E033","34","element_prism","farmland","Iron Rhythm","metal"
"E033","Sparrook","common","normal","false","true","true","shade","tide","fast","54","53","75","45","56","65","348","103","178","3","","","bond_event","marsh","Night Sense","shade_tide"
"E034","Mirelynx","rare","normal","false","true","true","radiant","","slow","79","82","69","83","103","67","483","179","89","1","E035","20","quest_attunement","industrial","Lumen Guard","radiant"
"E035","Basalisk","uncommon","normal","false","true","true","mind","","medium","67","74","67","45","64","78","395","130","130","2","E036","37","dungeon_finale","archive","Future Trace","mind"
"E036","Aurabeet","common","normal","false","true","true","echo","gale","fast","66","44","41","57","44","56","308","106","181","3","","","clear_prism","volcanic_port","Signal Bloom","echo_gale"
"E037","Duskrill","common","normal","false","true","true","ember","","fast","48","55","56","42","66","48","315","107","182","1","E038","17","habitat_prism","canopy","Pressure Vein","ember"
"E038","Chimefin","common","normal","false","true","true","tide","","fast","47","56","60","52","46","61","322","108","183","2","E039","40","element_prism","desert","Rain Listener","tide"
"E039","Flintusk","common","normal","false","true","true","verdance","metal","fast","67","47","56","48","44","67","329","109","184","3","","","bond_event","mountain","Root Memory","verdance_metal"
"E040","Mossgale","uncommon","normal","false","true","true","stone","","medium","72","57","69","66","66","54","384","135","135","1","E041","20","quest_attunement","wetland_tower","Stone Nerve","stone"
"E041","Veyrmite","common","normal","false","true","true","gale","","fast","57","75","55","53","57","46","343","111","186","2","E042","35","dungeon_finale","monastery_cliffs","Sky Step","gale"
"E042","Opalyn","common","normal","false","true","true","spark","mind","fast","50","67","54","58","64","57","350","112","187","3","","","clear_prism","storm_harbor","Static Nerve","spark_mind"
"E043","Coppershell","common","normal","false","true","true","frost","","fast","64","53","77","48","60","55","357","113","188","1","E044","17","habitat_prism","mining_city","Cold Focus","frost"
"E044","Rillshade","common","normal","false","true","true","metal","","fast","62","56","50","59","39","37","303","114","189","2","E045","38","element_prism","suspended_bridges","Iron Rhythm","metal"
"E045","Sunquill","uncommon","normal","false","true","true","shade","tide","medium","55","82","78","55","75","74","419","140","95","3","","","bond_event","reclaimed_war_zone","Night Sense","shade_tide"
"E046","Frosthorn","common","normal","false","true","true","radiant","","fast","53","48","48","65","51","52","317","71","191","1","E047","20","quest_attunement","flooded_ruins","Lumen Guard","radiant"
"E047","Wirevole","common","normal","false","true","true","mind","","fast","56","55","59","45","69","40","324","72","192","2","E048","41","dungeon_finale","trade_city","Future Trace","mind"
"E048","Stonefin","common","normal","false","true","true","echo","gale","fast","59","61","39","59","53","60","331","73","193","3","","","clear_prism","forge_city","Signal Bloom","echo_gale"
"E049","Murkawn","common","normal","false","true","true","ember","","fast","76","48","59","51","48","56","338","74","194","1","E050","17","habitat_prism","abandoned_relay","Pressure Vein","ember"
"E050","Bellroot","uncommon","normal","false","true","true","tide","","medium","60","64","80","77","77","50","408","145","100","2","E051","36","element_prism","night_marsh","Rain Listener","tide"
"E051","Axolume","rare","normal","false","true","true","verdance","metal","slow","81","90","71","69","74","94","479","171","71","3","","","bond_event","frozen_music_city","Root Memory","verdance_metal"
"E052","Emberlyn","common","normal","false","true","true","stone","","fast","69","46","69","72","43","60","359","77","197","1","E053","20","quest_attunement","capital","Stone Nerve","stone"
"E053","Galebit","common","normal","false","true","true","gale","","fast","66","49","43","48","57","42","305","78","198","2","E054","39","dungeon_finale","old_fortress","Sky Step","gale"
"E054","Glintoad","common","normal","false","true","true","spark","mind","fast","45","54","51","60","42","60","312","79","199","3","","","clear_prism","greenhouse_port","Static Nerve","spark_mind"
"E055","Reedstag","uncommon","normal","false","true","true","frost","","medium","72","51","51","65","87","71","397","150","105","1","E056","17","habitat_prism","sealed_border","Cold Focus","frost"
"E056","Ironpup","common","normal","false","true","true","metal","","fast","61","48","51","67","54","45","326","81","201","2","E057","34","element_prism","golden_tower","Iron Rhythm","metal"
"E057","Shadekin","common","normal","false","true","true","shade","tide","fast","64","55","61","49","39","65","333","82","202","3","","","bond_event","arena_island","Night Sense","shade_tide"
"E058","Mindmoth","common","normal","false","true","true","radiant","","fast","47","65","45","66","60","57","340","83","203","1","E059","20","quest_attunement","lower_archive","Lumen Guard","radiant"
"E059","Voltcrab","common","normal","false","true","true","mind","","fast","62","52","67","59","55","52","347","84","204","2","E060","37","dungeon_finale","corrupted_city","Future Trace","mind"
"E060","Sootwing","uncommon","normal","false","true","true","echo","gale","medium","88","80","60","52","52","54","386","125","110","3","","","clear_prism","restored_hub","Signal Bloom","echo_gale"
"E061","Tidepup","common","normal","false","true","true","ember","","fast","57","55","46","45","48","49","300","86","206","1","E062","17","habitat_prism","coast","Pressure Vein","ember"
"E062","Verdillo","common","normal","false","true","true","tide","","fast","51","47","71","40","47","51","307","87","207","2","E063","40","element_prism","farmland","Rain Listener","tide"
"E063","Rubblejaw","common","normal","false","true","true","verdance","metal","fast","54","53","49","54","64","40","314","88","208","3","","","bond_event","marsh","Root Memory","verdance_metal"
"E064","Lumenhare","common","normal","false","true","true","stone","","fast","58","60","59","37","49","58","321","89","209","1","E065","20","quest_attunement","industrial","Stone Nerve","stone"
"E065","Echofawn","uncommon","normal","false","true","true","gale","","medium","94","59","63","79","55","71","421","130","115","2","E066","35","dungeon_finale","archive","Sky Step","gale"
"E066","Frostkit","common","normal","false","true","true","spark","mind","fast","54","58","65","45","68","45","335","91","211","3","","","clear_prism","volcanic_port","Static Nerve","spark_mind"
"E067","Brinewing","common","normal","false","true","true","frost","","fast","58","65","42","61","50","66","342","92","212","1","E068","17","habitat_prism","canopy","Cold Focus","frost"
"E068","Thornray","rare","normal","false","true","true","metal","","slow","92","60","80","62","103","78","475","188","88","2","E069","38","element_prism","desert","Iron Rhythm","metal"
"E069","Sparkferret","common","normal","false","true","true","shade","tide","fast","71","52","69","62","58","44","356","94","214","3","","","bond_event","mountain","Night Sense","shade_tide"
"E070","Basalthorn","uncommon","normal","false","true","true","radiant","","medium","65","80","65","57","57","86","410","135","120","1","E071","20","quest_attunement","wetland_tower","Lumen Guard","radiant"
"E071","Glowmole","common","normal","false","true","true","mind","","fast","46","59","52","51","54","47","309","96","146","2","E072","41","dungeon_finale","monastery_cliffs","Future Trace","mind"
"E072","Shadefin","common","normal","false","true","true","echo","gale","fast","66","52","47","48","55","48","316","97","147","3","","","clear_prism","storm_harbor","Signal Bloom","echo_gale"
"E073","Copperkite","common","normal","false","true","true","ember","","fast","62","53","52","57","35","64","323","98","148","1","E074","17","habitat_prism","mining_city","Pressure Vein","ember"
"E074","Rimevole","common","normal","false","true","true","tide","","fast","46","64","67","43","56","54","330","99","149","2","E075","36","element_prism","suspended_bridges","Rain Listener","tide"
"E075","Myrraven","uncommon","normal","false","true","true","verdance","metal","medium","71","60","67","82","60","59","399","140","125","3","","","bond_event","reclaimed_war_zone","Root Memory","verdance_metal"
