id,name
E061,Tidepup
E062,Verdillo
E063,Rubblejaw
E064,Lumenhare
E065,Echofawn
E066,Frostkit
E067,Brinewing
E068,Thornray
E069,Sparkferret
E070,Basalthorn
E071,Glowmole
E072,Shadefin
E073,Copperkite
E074,Rimevole
E075,Myrraven
E076,Ashbloom
E077,Seaglassel
E078,Windleap
E079,Rootfinch
E080,Moltusk
E081,Prismole
E082,Duskhound
E083,Voltlynx
E084,Frosteel
E085,Auricub
E086,Siltshell
E087,Charrat
E088,Mindjaw
E089,Reedwhale
E090,Skypincer
E091,Lumidrake
E092,Bramblet
E093,Embertoad
E094,Nulltick
E095,Galestone
E096,Tidemane
E097,Shiverfin
E098,Ironmoth
E099,Echolisk
E100,Verdantle
E101,Ashmantle
E102,Glimmeray
E103,Sparkmole
E104,Shadebuck
E105,Frosthare
E106,Copperfin
E107,Rootcoil
E108,Mindvole
E109,Galerusk
E110,Brinekit
E111,Sootstag
E112,Lumenjaw
E113,Stonequill
E114,Veyrfin
E115,Thundawn
E116,Marshlyn
E117,Rimebeak
E118,Flarehorn
E119,Opalcrab
E120,Duskmant
E121,Verdusk
E122,Bellflare
E123,Sparkjaw
E124,Frostbloom
E125,Ironreed
E126,Tidehorn
E127,Mindroot
E128,Galehare
E129,Cindershell
E130,Lumespire
E131,Shadevole
E132,Basalfin
E133,Echobit
E134,Bronzetail
E135,Mirehorn
E136,Snowcrab
E137,Voltwing
E138,Thornmole
E139,Ashraven
E140,Prismfin
E141,Rootpup
E142,Sablekit
E143,Glazemoth
E144,Ferruleap
E145,Aurafawn
E146,Tidequill
E147,Nullfin
E148,Windroot
E149,Embercoil
E150,Stonehare
E151,Mindcrab
E152,Reedjaw
E153,Sparkbuck
E154,Frostlynx
E155,Shadeglass
E156,Lumenvole
E157,Brinehorn
E158,Mosswing
E159,Copperjaw
E160,Echostag
E161,Ashkit
E162,Tidebloom
E163,Galefin
E164,Ironquill
E165,Rimepup
E166,Mindflare
E167,Verdantjaw
E168,Veyrwing
E169,Sparkroot
E170,Sootcrab
E171,Auramole
E172,Shadehorn
E173,Frostcoil
E174,Bronzefawn
E175,Reedmoth
E176,Nulljaw
E177,Emberfin
E178,Stonebuck
E179,Lumenshell
E180,Galemant
E181,Mirequill
E182,Volthare
E183,Mindbeak
E184,Thornkit
E185,Ashglass
E186,Tidevole
E187,Frostroot
E188,Ironstag
E189,Echomole
E190,Sablefin
E191,Prismjaw
E192,Verdantwing
E193,Sparkhorn
E194,Brinecoil
E195,Lurkflare
E196,Snowjaw
E197,Copperroot
E198,Galekit
E199,Mindmantle
E200,Nullmoth
E201,Emberrusk
E202,Tidewing
E203,Mosscrab
E204,Shadequill
E205,Lumebuck
E206,Stonevole
E207,Voltfinch
E208,Frostmant
E209,Ironbloom
E210,Echopincer
E211,Ashroot
E212,Brinehare
E213,Galebloom
E214,Mindfin
E215,Reedrusk
E216,Sparkglass
E217,Sablehorn
E218,Lumenkit
E219,Frostquill
E220,Coppermole
E221,Verdantcoil
E222,Tidepincer
E223,Emberstag
E224,Nullvole
E225,Stonewing
E226,Echobloom
E227,Mirejaw
E228,Voltroot
E229,Shadepup
E230,Rimehorn
E231,Aurafin
E232,Ironkit
E233,Thornbuck
E234,Ashmoth
E235,Brineglass
E236,Galeroot
E237,Mindstag
E238,Sparkquill
E239,Frostpincer
E240,Copperhare
E241,Lumenroot
E242,Sablewing
E243,Tidecrab
E244,Emberjaw
E245,Stonekit
E246,Echofin
E247,Verdantmoth
E248,Nullhorn
E249,Rimeglass
E250,Ironvole
E251,Galestag
E252,Mindquill
E253,Sparkmanta
E254,Ashhare
E255,Brinerusk
E256,Shadecoil
E257,Aurawing
E258,Frostmole
E259,Copperstag
E260,Reedflare
E261,Tidejaw
E262,Embervole
E263,Stonebloom
E264,Echokit
E265,Verdantfin
E266,Nullroot
E267,Lumenant
E268,Galepincer
E269,Mindglass
E270,Sparkstag
E271,Frostjaw
E272,Ironhorn
E273,Shadebloom
E274,Ashquill
E275,Brinefawn
E276,Copperwing
E277,Rimerusk
E278,Tideflare
E279,Echomantle
E280,Verdantglass
E281,Auralith
E282,Umbryx
E283,Ferracore
E284,Tidecrown
E285,Sylvarion
E286,Pyrethane
E287,Galerex
E288,Voltrion
E289,Cryolith
E290,Myroracle
E291,Noctyrr
E292,Resonarch
E293,Nullwyrm
E294,Lumathen
E295,Basalord
E296,Verdaking
E297,Tempestral
E298,Auraclysm
E299,Severion
E300,First Echo
