"area_id","city_id","habitat","encounter_slot","species_id","species_name","min_level","max_level","rarity_weight","time_rule","weather_rule"
"area_01_01","city_01","coast","1","E031","Thornox","2","8","32","day","clear"
"area_01_02","city_01","storm_harbor","2","E042","Opalyn","2","9","32","night","rain"
"area_01_03","city_01","old_fortress","3","E053","Galebit","2","10","32","rain","storm"
"area_01_04","city_01","industrial","4","E064","Lumenhare","2","11","32","wind","fog"
"area_01_05","city_01","reclaimed_war_zone","5","E075","Myrraven","2","7","18","any","any"
"area_01_06","city_01","golden_tower","6","E086","Siltshell","2","8","32","day","clear"
"area_01_07","city_01","canopy","7","E097","Shiverfin","2","9","32","night","rain"
"area_01_08","city_01","forge_city","8","E108","Mindvole","2","10","32","rain","storm"
"area_01_09","city_01","corrupted_city","9","E119","Opalcrab","2","11","8","wind","fog"
"area_01_10","city_01","wetland_tower","10","E130","Lumespire","2","7","18","any","any"
"area_02_01","city_02","night_marsh","1","E050","Bellroot","3","11","18","day","clear"
"area_02_02","city_02","coast","2","E061","Tidepup","4","12","32","night","rain"
"area_02_03","city_02","storm_harbor","3","E072","Shadefin","2","13","32","rain","storm"
"area_02_04","city_02","old_fortress","4","E083","Voltlynx","3","14","32","wind","fog"
"area_02_05","city_02","industrial","5","E094","Nulltick","4","10","32","any","any"
"area_02_06","city_02","reclaimed_war_zone","6","E105","Frosthare","2","11","18","day","clear"
"area_02_07","city_02","golden_tower","7","E116","Marshlyn","3","12","32","night","rain"
"area_02_08","city_02","canopy","8","E127","Mindroot","4","13","32","rain","storm"
"area_02_09","city_02","forge_city","9","E138","Thornmole","2","14","32","wind","fog"
"area_02_10","city_02","corrupted_city","10","E149","Embercoil","3","10","32","any","any"
"area_03_01","city_03","mountain","1","E069","Sparkferret","6","14","32","day","clear"
"area_03_02","city_03","night_marsh","2","E080","Moltusk","7","15","18","night","rain"
"area_03_03","city_03","coast","3","E091","Lumidrake","5","16","32","rain","storm"
"area_03_04","city_03","storm_harbor","4","E102","Glimmeray","6","17","8","wind","fog"
"area_03_05","city_03","old_fortress","5","E113","Stonequill","7","13","32","any","any"
"area_03_06","city_03","industrial","6","E124","Frostbloom","5","14","32","day","clear"
"area_03_07","city_03","reclaimed_war_zone","7","E135","Mirehorn","6","15","18","night","rain"
"area_03_08","city_03","golden_tower","8","E146","Tidequill","7","16","32","rain","storm"
"area_03_09","city_03","canopy","9","E157","Brinehorn","5","17","32","wind","fog"
"area_03_10","city_03","forge_city","10","E168","Veyrwing","6","13","32","any","any"
"area_04_01","city_04","lower_archive","1","E088","Mindjaw","9","17","32","day","clear"
"area_04_02","city_04","mountain","2","E099","Echolisk","10","18","32","night","rain"
"area_04_03","city_04","night_marsh","3","E110","Brinekit","8","19","18","rain","storm"
"area_04_04","city_04","coast","4","E121","Verdusk","9","20","32","wind","fog"
"area_04_05","city_04","storm_harbor","5","E132","Basalfin","10","16","32","any","any"
"area_04_06","city_04","old_fortress","6","E143","Glazemoth","8","17","32","day","clear"
"area_04_07","city_04","industrial","7","E154","Frostlynx","9","18","32","night","rain"
"area_04_08","city_04","reclaimed_war_zone","8","E165","Rimepup","10","19","18","rain","storm"
"area_04_09","city_04","golden_tower","9","E176","Nulljaw","8","20","32","wind","fog"
"area_04_10","city_04","canopy","10","E187","Frostroot","9","16","8","any","any"
"area_05_01","city_05","trade_city","1","E107","Rootcoil","12","20","32","day","clear"
"area_05_02","city_05","lower_archive","2","E118","Flarehorn","13","21","32","night","rain"
"area_05_03","city_05","mountain","3","E129","Cindershell","11","22","32","rain","storm"
"area_05_04","city_05","night_marsh","4","E140","Prismfin","12","23","18","wind","fog"
"area_05_05","city_05","coast","5","E151","Mindcrab","13","19","32","any","any"
"area_05_06","city_05","storm_harbor","6","E162","Tidebloom","11","20","32","day","clear"
"area_05_07","city_05","old_fortress","7","E173","Frostcoil","12","21","32","night","rain"
"area_05_08","city_05","industrial","8","E184","Thornkit","13","22","32","rain","storm"
"area_05_09","city_05","reclaimed_war_zone","9","E195","Lurkflare","11","23","18","wind","fog"
"area_05_10","city_05","golden_tower","10","E206","Stonevole","12","19","32","any","any"
"area_06_01","city_06","volcanic_port","1","E126","Tidehorn","15","23","32","day","clear"
"area_06_02","city_06","trade_city","2","E137","Voltwing","16","24","32","night","rain"
"area_06_03","city_06","lower_archive","3","E148","Windroot","14","25","32","rain","storm"
"area_06_04","city_06","mountain","4","E159","Copperjaw","15","26","32","wind","fog"
