"id","name","archetype","home_city","level_policy","team_theme","starts_battle","reward_marks","dialogue_key","world_role","placed_in_world","placement_kind","can_have_legendary"
"NPC0001","Ari Silt","route_binder","city_01","fixed_first_clear","ember","talk_to_battle","67","dlg_npc0001","fixed_world_battle","true","route_city_dungeon","false"
"NPC0002","Bela Keir","city_binder","city_02","fixed_first_clear","tide","talk_to_battle","84","dlg_npc0002","fixed_world_battle","true","route_city_dungeon","false"
"NPC0003","Cato Noct","arena_apprentice","city_03","fixed_first_clear","verdance","talk_to_battle","101","dlg_npc0003","fixed_world_battle","true","route_city_dungeon","false"
"NPC0004","Dena Arc","veyr_scout","city_04","fixed_first_clear","stone","talk_to_battle","118","dlg_npc0004","fixed_world_battle","true","route_city_dungeon","false"
"NPC0005","Eron Holt","relic_hunter","city_05","fixed_first_clear","gale","talk_to_battle","135","dlg_npc0005","fixed_world_battle","true","route_city_dungeon","false"
"NPC0006","Fia Sol","prism_student","city_06","fixed_first_clear","spark","talk_to_battle","152","dlg_npc0006","fixed_world_battle","true","route_city_dungeon","false"
"NPC0007","Garr Maren","field_medic","city_07","fixed_first_clear","frost","talk_to_battle","169","dlg_npc0007","fixed_world_battle","true","route_city_dungeon","false"
"NPC0008","Hale Tor","storm_sailor","city_08","fixed_first_clear","metal","talk_to_battle","186","dlg_npc0008","fixed_world_battle","true","route_city_dungeon","false"
"NPC0009","Ira Vale","archive_duelist","city_09","fixed_first_clear","shade","talk_to_battle","203","dlg_npc0009","fixed_world_battle","true","route_city_dungeon","false"
"NPC0010","Juno Quill","postgame_master","city_10","fixed_first_clear","radiant","talk_to_battle","220","dlg_npc0010","fixed_world_battle","true","route_city_dungeon","false"
"NPC0011","Kira Nox","route_binder","city_11","fixed_first_clear","mind","talk_to_battle","237","dlg_npc0011","fixed_world_battle","true","route_city_dungeon","false"
"NPC0012","Lio Reed","city_binder","city_12","fixed_first_clear","echo","talk_to_battle","254","dlg_npc0012","fixed_world_battle","true","route_city_dungeon","false"
"NPC0013","Mira Esh","arena_apprentice","city_13","fixed_first_clear","radiant","talk_to_battle","271","dlg_npc0013","fixed_world_battle","true","route_city_dungeon","false"
"NPC0014","Nox Rusk","veyr_scout","city_14","fixed_first_clear","ember","talk_to_battle","288","dlg_npc0014","fixed_world_battle","true","route_city_dungeon","false"
"NPC0015","Oren Voss","relic_hunter","city_15","fixed_first_clear","tide","talk_to_battle","305","dlg_npc0015","fixed_world_battle","true","route_city_dungeon","false"
"NPC0016","Pax Rook","prism_student","city_16","fixed_first_clear","verdance","talk_to_battle","322","dlg_npc0016","fixed_world_battle","true","route_city_dungeon","false"
"NPC0017","Quin Fenn","field_medic","city_17","fixed_first_clear","stone","talk_to_battle","339","dlg_npc0017","fixed_world_battle","true","route_city_dungeon","false"
"NPC0018","Rhea Wren","storm_sailor","city_18","fixed_first_clear","gale","talk_to_battle","356","dlg_npc0018","fixed_world_battle","true","route_city_dungeon","false"
"NPC0019","Senn Pell","archive_duelist","city_19","fixed_first_clear","spark","talk_to_battle","373","dlg_npc0019","fixed_world_battle","true","route_city_dungeon","false"
"NPC0020","Talia Thane","postgame_master","city_20","fixed_first_clear","frost","talk_to_battle","390","dlg_npc0020","fixed_world_battle","true","route_city_dungeon","false"
"NPC0021","Uma Silt","route_binder","city_21","fixed_first_clear","metal","talk_to_battle","407","dlg_npc0021","fixed_world_battle","true","route_city_dungeon","false"
"NPC0022","Venn Keir","city_binder","city_22","fixed_first_clear","shade","talk_to_battle","424","dlg_npc0022","fixed_world_battle","true","route_city_dungeon","false"
"NPC0023","Wren Noct","arena_apprentice","city_23","fixed_first_clear","radiant","talk_to_battle","441","dlg_npc0023","fixed_world_battle","true","route_city_dungeon","false"
"NPC0024","Xara Arc","veyr_scout","city_24","fixed_first_clear","mind","talk_to_battle","458","dlg_npc0024","fixed_world_battle","true","route_city_dungeon","false"
"NPC0025","Yven Holt","relic_hunter","city_25","fixed_first_clear","echo","talk_to_battle","475","dlg_npc0025","fixed_world_battle","true","route_city_dungeon","false"
"NPC0026","Zale Sol","prism_student","city_26","fixed_first_clear","mind","talk_to_battle","492","dlg_npc0026","fixed_world_battle","true","route_city_dungeon","false"
"NPC0027","Ari Maren","field_medic","city_27","fixed_first_clear","ember","talk_to_battle","509","dlg_npc0027","fixed_world_battle","true","route_city_dungeon","false"
"NPC0028","Bela Tor","storm_sailor","city_28","fixed_first_clear","tide","talk_to_battle","526","dlg_npc0028","fixed_world_battle","true","route_city_dungeon","false"
"NPC0029","Cato Vale","archive_duelist","city_29","fixed_first_clear","verdance","talk_to_battle","543","dlg_npc0029","fixed_world_battle","true","route_city_dungeon","false"
"NPC0030","Dena Quill","postgame_master","city_30","fixed_first_clear","stone","talk_to_battle","560","dlg_npc0030","fixed_world_battle","true","route_city_dungeon","false"
"NPC0031","Eron Nox","route_binder","city_01","fixed_first_clear","gale","talk_to_battle","577","dlg_npc0031","fixed_world_battle","true","route_city_dungeon","false"
"NPC0032","Fia Reed","city_binder","city_02","fixed_first_clear","spark","talk_to_battle","594","dlg_npc0032","fixed_world_battle","true","route_city_dungeon","false"
"NPC0033","Garr Esh","arena_apprentice","city_03","fixed_first_clear","frost","talk_to_battle","611","dlg_npc0033","fixed_world_battle","true","route_city_dungeon","false"
"NPC0034","Hale Rusk","veyr_scout","city_04","fixed_first_clear","metal","talk_to_battle","628","dlg_npc0034","fixed_world_battle","true","route_city_dungeon","false"
"NPC0035","Ira Voss","relic_hunter","city_05","fixed_first_clear","shade","talk_to_battle","645","dlg_npc0035","fixed_world_battle","true","route_city_dungeon","false"
"NPC0036","Juno Rook","prism_student","city_06","fixed_first_clear","radiant","talk_to_battle","662","dlg_npc0036","fixed_world_battle","true","route_city_dungeon","false"
"NPC0037","Kira Fenn","field_medic","city_07","fixed_first_clear","mind","talk_to_battle","679","dlg_npc0037","fixed_world_battle","true","route_city_dungeon","false"
"NPC0038","Lio Wren","storm_sailor","city_08","fixed_first_clear","echo","talk_to_battle","696","dlg_npc0038","fixed_world_battle","true","route_city_dungeon","false"
"NPC0039","Mira Pell","archive_duelist","city_09","fixed_first_clear","echo","talk_to_battle","713","dlg_npc0039","fixed_world_battle","true","route_city_dungeon","false"
"NPC0040","Nox Thane","postgame_master","city_10","fixed_first_clear","ember","talk_to_battle","730","dlg_npc0040","fixed_world_battle","true","route_city_dungeon","false"
"NPC0041","Oren Silt","route_binder","city_11","fixed_first_clear","tide","talk_to_battle","747","dlg_npc0041","fixed_world_battle","true","route_city_dungeon","false"
"NPC0042","Pax Keir","city_binder","city_12","fixed_first_clear","verdance","talk_to_battle","764","dlg_npc0042","fixed_world_battle","true","route_city_dungeon","false"
"NPC0043","Quin Noct","arena_apprentice","city_13","fixed_first_clear","stone","talk_to_battle","781","dlg_npc0043","fixed_world_battle","true","route_city_dungeon","false"
"NPC0044","Rhea Arc","veyr_scout","city_14","fixed_first_clear","gale","talk_to_battle","798","dlg_npc0044","fixed_world_battle","true","route_city_dungeon","false"
