"npc_id","npc_name","world_role","placed_in_world","team_size","level_policy","base_level","can_scale_to_player","species_1","species_2","species_3","species_4","species_5","species_6","contains_legendary","held_item_tier","ai_tier"
"NPC0001","Ari Silt","fixed_world_battle","true","2","fixed_first_clear","3","false","E021","E050","","","","","false","none","basic"
"NPC0002","Bela Keir","fixed_world_battle","true","2","fixed_first_clear","5","false","E041","E070","","","","","false","none","basic"
"NPC0003","Cato Noct","fixed_world_battle","true","2","fixed_first_clear","9","false","E061","E090","","","","","false","none","basic"
"NPC0004","Dena Arc","fixed_world_battle","true","3","fixed_first_clear","13","false","E081","E110","E139","","","","false","none","basic"
"NPC0005","Eron Holt","fixed_world_battle","true","3","fixed_first_clear","17","false","E101","E130","E159","","","","false","none","basic"
"NPC0006","Fia Sol","fixed_world_battle","true","3","fixed_first_clear","21","false","E121","E150","E179","","","","false","none","normal"
"NPC0007","Garr Maren","fixed_world_battle","true","3","fixed_first_clear","25","false","E141","E170","E199","","","","false","none","normal"
"NPC0008","Hale Tor","fixed_world_battle","true","3","fixed_first_clear","21","false","E161","E190","E219","","","","false","none","normal"
"NPC0009","Ira Vale","fixed_world_battle","true","3","fixed_first_clear","25","false","E181","E210","E239","","","","false","none","normal"
"NPC0010","Juno Quill","fixed_world_battle","true","4","fixed_first_clear","29","true","E201","E230","E259","E003","","","false","none","normal"
"NPC0011","Kira Nox","fixed_world_battle","true","4","fixed_first_clear","33","true","E221","E250","E279","E023","","","false","none","normal"
"NPC0012","Lio Reed","fixed_world_battle","true","4","fixed_first_clear","37","true","E241","E270","E014","E043","","","false","standard","normal"
"NPC0013","Mira Esh","fixed_world_battle","true","4","fixed_first_clear","41","true","E261","E005","E034","E063","","","false","standard","normal"
"NPC0014","Nox Rusk","fixed_world_battle","true","4","fixed_first_clear","45","true","E281","E025","E054","E083","","","false","standard","normal"
"NPC0015","Oren Voss","fixed_world_battle","true","4","fixed_first_clear","49","true","E016","E045","E074","E103","","","false","standard","smart"
"NPC0016","Pax Rook","fixed_world_battle","true","4","fixed_first_clear","45","true","E036","E065","E094","E123","","","false","standard","smart"
"NPC0017","Quin Fenn","fixed_world_battle","true","4","fixed_first_clear","49","true","E056","E085","E114","E143","","","false","standard","smart"
"NPC0018","Rhea Wren","fixed_world_battle","true","5","fixed_first_clear","53","true","E076","E105","E134","E163","E192","","false","standard","smart"
"NPC0019","Senn Pell","fixed_world_battle","true","5","fixed_first_clear","57","true","E096","E125","E154","E183","E212","","false","standard","smart"
"NPC0020","Talia Thane","fixed_world_battle","true","5","fixed_first_clear","61","true","E116","E145","E174","E203","E232","","false","standard","smart"
"NPC0021","Uma Silt","fixed_world_battle","true","5","fixed_first_clear","65","true","E136","E165","E194","E223","E252","","false","standard","smart"
"NPC0022","Venn Keir","fixed_world_battle","true","5","fixed_first_clear","69","true","E156","E185","E214","E243","E272","","false","standard","smart"
"NPC0023","Wren Noct","fixed_world_battle","true","5","fixed_first_clear","73","true","E176","E205","E234","E263","E007","","false","standard","smart"
"NPC0024","Xara Arc","fixed_world_battle","true","5","fixed_first_clear","69","true","E196","E225","E254","E283","E027","","false","standard","smart"
"NPC0025","Yven Holt","fixed_world_battle","true","6","fixed_first_clear","73","true","E216","E245","E274","E018","E047","E076","false","advanced","expert"
"NPC0026","Zale Sol","fixed_world_battle","true","6","fixed_first_clear","77","true","E236","E265","E009","E038","E067","E096","false","advanced","expert"
"NPC0027","Ari Maren","fixed_world_battle","true","6","fixed_first_clear","81","true","E256","E285","E029","E058","E087","E116","false","advanced","expert"
"NPC0028","Bela Tor","fixed_world_battle","true","6","fixed_first_clear","85","true","E276","E020","E049","E078","E107","E136","false","advanced","expert"
"NPC0029","Cato Vale","fixed_world_battle","true","6","fixed_first_clear","89","true","E011","E040","E069","E098","E127","E156","false","advanced","expert"
"NPC0030","Dena Quill","fixed_world_battle","true","6","fixed_first_clear","93","true","E031","E060","E089","E118","E147","E176","false","advanced","expert"
"NPC0031","Eron Nox","fixed_world_battle","true","2","fixed_first_clear","7","false","E231","E260","","","","","false","none","basic"
"NPC0032","Fia Reed","fixed_world_battle","true","2","fixed_first_clear","3","false","E251","E280","","","","","false","none","basic"
"NPC0033","Garr Esh","fixed_world_battle","true","2","fixed_first_clear","7","false","E271","E015","","","","","false","none","basic"
"NPC0034","Hale Rusk","fixed_world_battle","true","3","fixed_first_clear","11","false","E006","E035","E064","","","","false","none","basic"
"NPC0035","Ira Voss","fixed_world_battle","true","3","fixed_first_clear","15","false","E026","E055","E084","","","","false","none","basic"
"NPC0036","Juno Rook","fixed_world_battle","true","3","fixed_first_clear","19","false","E046","E075","E104","","","","false","none","normal"
"NPC0037","Kira Fenn","fixed_world_battle","true","3","fixed_first_clear","23","false","E066","E095","E124","","","","false","none","normal"
"NPC0038","Lio Wren","fixed_world_battle","true","3","fixed_first_clear","27","false","E086","E115","E144","","","","false","none","normal"
"NPC0039","Mira Pell","fixed_world_battle","true","3","fixed_first_clear","31","false","E106","E135","E164","","","","false","none","normal"
"NPC0040","Nox Thane","fixed_world_battle","true","4","fixed_first_clear","27","true","E126","E155","E184","E213","","","false","none","normal"
"NPC0041","Oren Silt","fixed_world_battle","true","4","fixed_first_clear","31","true","E146","E175","E204","E233","","","false","none","normal"
"NPC0042","Pax Keir","fixed_world_battle","true","4","fixed_first_clear","35","true","E166","E195","E224","E253","","","false","standard","normal"
"NPC0043","Quin Noct","fixed_world_battle","true","4","fixed_first_clear","39","true","E186","E215","E244","E273","","","false","standard","normal"
"NPC0044","Rhea Arc","fixed_world_battle","true","4","fixed_first_clear","43","true","E206","E235","E264","E008","","","false","standard","normal"
"NPC0045","Senn Holt","fixed_world_battle","true","4","fixed_first_clear","47","true","E226","E255","E284","E028","","","false","standard","smart"
"NPC0046","Talia Sol","fixed_world_battle","true","4","fixed_first_clear","51","true","E246","E275","E019","E048","","","false","standard","smart"
"NPC0047","Uma Maren","fixed_world_battle","true","4","fixed_first_clear","55","true","E266","E010","E039","E068","","","false","standard","smart"
"NPC0048","Venn Tor","fixed_world_battle","true","5","fixed_first_clear","51","true","E001","E030","E059","E088","E117","","false","standard","smart"
"NPC0049","Wren Vale","fixed_world_battle","true","5","fixed_first_clear","55","true","E021","E050","E079","E108","E137","","false","standard","smart"
"NPC0050","Xara Quill","fixed_world_battle","true","5","fixed_first_clear","59","true","E041","E070","E099","E128","E157","","false","standard","smart"
"NPC0051","Yven Nox","fixed_world_battle","true","5","fixed_first_clear","63","true","E061","E090","E119","E148","E177","","false","standard","smart"
"NPC0052","Zale Reed","fixed_world_battle","true","5","fixed_first_clear","67","true","E081","E110","E139","E168","E197","","false","standard","smart"
"NPC0053","Ari Esh","fixed_world_battle","true","5","fixed_first_clear","71","true","E101","E130","E159","E188","E217","","false","standard","smart"
"NPC0054","Bela Rusk","fixed_world_battle","true","5","fixed_first_clear","75","true","E121","E150","E179","E208","E237","","false","standard","smart"
"NPC0055","Cato Voss","fixed_world_battle","true","6","fixed_first_clear","79","true","E141","E170","E199","E228","E257","E001","false","advanced","expert"
"NPC0056","Dena Rook","fixed_world_battle","true","6","fixed_first_clear","75","true","E161","E190","E219","E248","E277","E021","false","advanced","expert"
"NPC0057","Eron Fenn","fixed_world_battle","true","6","fixed_first_clear","79","true","E181","E210","E239","E268","E012","E041","false","advanced","expert"
"NPC0058","Fia Wren","fixed_world_battle","true","6","fixed_first_clear","83","true","E201","E230","E259","E003","E032","E061","false","advanced","expert"
"NPC0059","Garr Pell","fixed_world_battle","true","6","fixed_first_clear","87","true","E221","E250","E279","E023","E052","E081","false","advanced","expert"
"NPC0060","Hale Thane","fixed_world_battle","true","6","fixed_first_clear","91","true","E241","E270","E014","E043","E072","E101","false","advanced","expert"
