"id","name","aspect","category","power","accuracy","flux_delta","priority","effect","animation_id","unlock_level"
"TC001","Ember Snap","ember","strike","37","75","-9","0","damage_contact","anim_tc001_ember_strike_arc","4"
"TC002","Tide Surge","tide","pulse","44","80","-8","0","damage_special","anim_tc002_tide_pulse_surge","7"
"TC003","Verdance Veil","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc003_verdance_guard_spiral","10"
"TC004","Stone Spiral","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc004_stone_field_burst","13"
"TC005","Gale Crown","gale","bind","65","95","-5","0","status_or_switch_lock","anim_tc005_gale_bind_rain","16"
"TC006","Spark Pulse","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc006_spark_recovery_lash","19"
"TC007","Frost Fang","frost","strike","79","74","-3","0","damage_contact","anim_tc007_frost_strike_ring","22"
"TC008","Metal Bloom","metal","pulse","86","79","-2","0","damage_special","anim_tc008_metal_pulse_wave","25"
"TC009","Shade Ward","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc009_shade_guard_slash","28"
"TC010","Radiant Lance","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc010_radiant_field_flare","31"
"TC011","Mind Step","mind","bind","107","94","1","0","status_or_switch_lock","anim_tc011_mind_bind_quake","34"
"TC012","Echo Howl","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc012_echo_recovery_beam","37"
"TC013","Ember Guard","ember","strike","121","73","3","0","damage_contact","anim_tc013_ember_strike_ripple","40"
"TC014","Tide Crash","tide","pulse","33","78","4","0","damage_special","anim_tc014_tide_pulse_shard","43"
"TC015","Verdance Thread","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc015_verdance_guard_chain","46"
"TC016","Stone Field","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc016_stone_field_veil","49"
"TC017","Gale Mark","gale","bind","54","93","-8","0","status_or_switch_lock","anim_tc017_gale_bind_arc","52"
"TC018","Spark Rush","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc018_spark_recovery_surge","55"
"TC019","Frost Song","frost","strike","68","72","-6","0","damage_contact","anim_tc019_frost_strike_spiral","58"
"TC020","Metal Blade","metal","pulse","75","77","-5","0","damage_special","anim_tc020_metal_pulse_burst","61"
"TC021","Shade Nova","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc021_shade_guard_rain","64"
"TC022","Radiant Rift","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc022_radiant_field_lash","67"
"TC023","Mind Comet","mind","bind","96","92","-2","0","status_or_switch_lock","anim_tc023_mind_bind_ring","70"
"TC024","Echo Bind","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc024_echo_recovery_wave","73"
"TC025","Ember Mirror","ember","strike","110","71","0","0","damage_contact","anim_tc025_ember_strike_slash","76"
"TC026","Tide Drift","tide","pulse","117","76","1","0","damage_special","anim_tc026_tide_pulse_flare","79"
"TC027","Verdance Aegis","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc027_verdance_guard_quake","82"
"TC028","Stone Burst","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc028_stone_field_beam","85"
"TC029","Gale Orbit","gale","bind","43","91","4","0","status_or_switch_lock","anim_tc029_gale_bind_ripple","88"
"TC030","Spark Needle","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc030_spark_recovery_shard","91"
